U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.56435,26796,1,14,15,14,0.105
0.60033,27036,1,14.125,15,14.125,0.10594
0.63087,27277,1,14.25,15,14.25,0.10688
0.65595,27517,1,14.375,15,14.375,0.10781
0.67489,27758,1,14.5,15,14.5,0.10875
0.68759,27998,1,14.625,15,14.625,0.10969
0.69416,28239,1,14.75,15,14.75,0.11063
0.69435,28479,1,14.875,15,14.875,0.11156
0.68905,28719,1,15,15,15,0.1125
0.67793,28960,1,15.125,15,15.125,0.11344
0.66228,29200,1,15.25,15,15.25,0.11438
0.64223,29441,1,15.375,15,15.375,0.11531
0.61882,29681,1,15.5,15,15.5,0.11625
0.59266,29922,1,15.625,15,15.625,0.11719
0.56455,30162,1,15.75,15,15.75,0.11813
0.53527,30403,1,15.875,15,15.875,0.11906
0.5055,30643,1,16,15,16,0.12
0.47593,30884,1,16.125,15,16.125,0.12094
0.44715,31124,1,16.25,15,16.25,0.12188
0.41959,31365,1,16.375,15,16.375,0.12281
0.3938,31605,1,16.5,15,16.5,0.12375
0.36988,31845,1,16.625,15,16.625,0.12469
0.34831,32086,1,16.75,15,16.75,0.12562
0.32892,32326,1,16.875,15,16.875,0.12656
0.31204,32567,1,17,15,17,0.1275
0.29735,32807,1,17.125,15,17.125,0.12844
0.28503,33048,1,17.25,15,17.25,0.12938
0.2747,33288,1,17.375,15,17.375,0.13031
0.26638,33529,1,17.5,15,17.5,0.13125
0.25972,33769,1,17.625,15,17.625,0.13219
0.25464,34010,1,17.75,15,17.75,0.13313
0.25083,34250,1,17.876,15,17.875,0.13406
0.2482,34491,1,18.001,15,18,0.135
0.24646,34731,1,18.126,15,18.125,0.13594
0.24555,34972,1,18.251,15,18.25,0.13688
0.24522,35212,1,18.376,15,18.375,0.13781
0.24539,35453,1,18.501,15,18.5,0.13875
0.24588,35694,1,18.626,15,18.625,0.13969
0.24666,35934,1,18.751,15,18.75,0.14062
0.24775,36175,1,18.876,15,18.875,0.14156
0.2495,36415,1,19.001,15,19,0.1425
0.25239,36656,1,19.126,15,19.125,0.14344
0.25679,36896,1,19.251,15,19.25,0.14438
0.26137,37137,1,19.376,15,19.375,0.14531
0.26066,37377,1,19.501,15,19.5,0.14625
0.24205,37618,1,19.626,15,19.625,0.14719
0.18758,37858,1,19.751,15,19.75,0.14813
0.090154,38099,1,19.876,15,19.875,0.14906
0,38339,1,20.001,15,20,0.15
